,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANALYSIS OF COMPRESSION MEMBERS,,,,,,,,,DESIGN OF COMPRESSION MEMBERS,,,,,,,,,,,,,,,,,,REF,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,rts,ho,Qw,,,PA,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETERS:,,,,,,,,,PARAMETERS:,,,,,,,,,,,,,,,,,,1,W44X408,W44X408,T,408,120,44.8,44  3/4 ,16.1,16  1/8 ,1.22,1  1/4 ,  5/8 ,2.17,2  3/16,2.96,3  3/8 ,1 13/16,3.71,31.9,38700,2000,1730,18.0,1520,297,189,3.56,134,691000,172,4.33,42.6,994,,,134,150,106,122,38      ,5  1/2 ,3    ,W1100X607,W1100X607,607,77400,1140,1140,409,410,31.0,31.8,15.9,55.1,55.6,75.2,85.7,46.0,3.71,31.9,16100,32800,28300,457,633,4870,3100,90.4,55800,186000,111000,624,5640,16300,110,1080,3400,3810,2690,3100,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shape Selection,,, W-SHAPES ,,,Reference:,9,,Dead Load,,DL,100,kips,,,,,,,,,,,,,,2,W44X368,W44X368,F,368,108,44.4,44  3/8 ,16.0,16      ,1.10,1  1/8 ,  9/16,1.97,2      ,2.76,3  3/16,1  3/4 ,4.06,35.4,34700,1800,1560,17.9,1350,265,169,3.54,100,608000,170,4.28,42.4,894,,,133,149,105,121,38      ,5  1/2 ,3    ,W1100X548,W1100X548,548,69700,1130,1130,406,406,27.9,28.6,14.3,50.0,50.8,70.1,81.0,44.5,4.06,35.4,14400,29500,25600,455,562,4340,2770,89.9,41600,163000,110000,558,5100,14700,109,1080,3380,3780,2670,3070,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AISC Manual Section,,,W40X503,,,,,,Live Load,,LL,100,kips,,,,,,,,,,,,,,3,W44X335,W44X335,F,335,98.5,44.0,44      ,15.9,16      ,1.030,1      ,  1/2 ,1.77,1  3/4 ,2.56,3      ,1  3/4 ,4.50,38.0,31100,1620,1410,17.8,1200,236,150,3.49,74.7,535000,168,4.24,42.2,805,,,132,148,104,120,38      ,5  1/2 ,3    ,W1100X499,W1100X499,499,63500,1120,1120,404,406,26.2,25.4,12.7,45.0,44.4,65.0,76.2,44.5,4.50,38.0,12900,26500,23100,452,499,3870,2460,88.6,31100,144000,108000,491,4560,13200,108,1070,3350,3760,2640,3050,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Modulus Elasticity,,,E,29000,ksi,,,,Length,x,x1,80,ft,,,,,,,,,,,,,,4,W44X290,W44X290,F,290,85.4,43.6,43  5/8 ,15.8,15  7/8 ,0.865,  7/8 ,  7/16,1.58,1  9/16,2.36,2 13/16,1  5/8 ,5.02,45.0,27000,1410,1240,17.8,1040,205,132,3.49,50.9,461000,166,4.20,42.0,701,,,131,147,103,119,38      ,5  1/2 ,3    ,W1100X433,W1100X433,433,55100,1110,1110,401,403,22.0,22.2,11.1,40.1,39.7,59.9,71.4,41.3,5.02,45.0,11200,23100,20300,452,433,3360,2160,88.6,21200,124000,107000,433,4060,11500,107,1070,3330,3730,2620,3020,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Area (Ag) ,,,Ag,148,in²,,,,,,x2,0,ft,,,,,,,,,,,,,,5,W44X262,W44X262,F,262,77.2,43.3,43  1/4 ,15.8,15  3/4 ,0.785, 13/16,  7/16,1.42,1  7/16,2.20,2  5/8 ,1  5/8 ,5.57,49.6,24100,1270,1110,17.7,923,182,117,3.47,37.3,405000,165,4.17,41.9,630,,,131,147,102,118,38      ,5  1/2 ,3    ,W1100X390,W1100X390,390,49800,1100,1100,401,400,19.9,20.6,11.1,36.1,36.5,55.9,66.7,41.3,5.57,49.6,10000,20800,18200,450,384,2980,1920,88.1,15500,109000,106000,386,3650,10300,106,1060,3330,3730,2590,3000,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Radius of Gyration,,,rx,16.8,in,,,,,,x3,0,ft,,,,,,,,,,,,,,6,W44X230,W44X230,F,230,67.8,42.9,42  7/8 ,15.8,15  3/4 ,0.710, 11/16,  3/8 ,1.22,1  1/4 ,2.01,2  7/16,1  9/16,6.45,54.8,20800,1100,971,17.5,796,157,101,3.43,24.9,346000,165,4.13,41.7,547,,,130,146,102,118,38      ,5  1/2 ,3    ,W1100X343,W1100X343,343,43700,1090,1090,401,400,18.0,17.5,9.52,31.0,31.8,51.1,61.9,39.7,6.45,54.8,8660,18000,15900,445,331,2570,1660,87.1,10400,92900,106000,330,3150,8960,105,1060,3300,3710,2590,3000,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ry,3.72,in,,,,,,x4,0,ft,,,,,,,,,,,,,,7,W40X655,W40X655,T,655,193,43.6,43  5/8 ,16.9,16  7/8 ,1.97,2      ,1      ,3.54,3  9/16,4.72,4 13/16,2  3/16,2.39,17.3,56500,3080,2590,17.1,2870,542,340,3.86,589,1150000,169,4.71,40.1,1530,,,132,149,104,121,34      ,7  1/2 ,3    ,W1000X976,W1000X976,976,125000,1110,1110,429,429,50.0,50.8,25.4,89.9,90.5,120,122,55.6,2.39,17.3,23500,50500,42500,434,1190,8880,5570,98.0,245000,309000,109000,1050,8670,25100,120,1020,3350,3780,2640,3070,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Compact Section Criteria,,,λf = bf/2tf,2.98,,,,,,,x5,0,ft,,,,,,,,,,,,,,8,W40X593,W40X593,T,593,174,43.0,43      ,16.7,16  3/4 ,1.79,1 13/16, 15/16,3.23,3  1/4 ,4.41,4  1/2 ,2  1/8 ,2.58,19.1,50400,2760,2340,17.0,2520,481,302,3.80,445,997000,166,4.63,39.8,1370,,,130,147,103,120,34      ,7  1/2 ,3    ,W1000X883,W1000X883,883,112000,1090,1090,424,425,45.5,46.0,23.8,82.0,82.6,112,114,54.0,2.58,19.1,21000,45200,38300,432,1050,7880,4950,96.5,185000,268000,107000,932,7850,22500,118,1010,3300,3730,2620,3050,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,λw = h/tw,22.3,,,,,,y,y1,40,ft,,,,,,,,,,,,,,9,W40X503,W40X503,T,503,148,42.1,42      ,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.76,2  3/4 ,3.94,4      ,2      ,2.98,22.3,41600,2320,1980,16.8,2040,394,249,3.72,277,789000,161,4.50,39.3,1150,,,129,145,101,117,34      ,7  1/2 ,3    ,W1000X748,W1000X748,748,95500,1070,1070,417,416,39.1,39.7,20.6,70.1,69.8,100,102,50.8,2.98,22.3,17300,38000,32400,427,849,6460,4080,94.5,115000,212000,104000,762,6600,18800,114,998,3280,3680,2570,2970,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Length,,x,x1,70,ft,,,,,,y2,40,ft,,,,,,,,,,,,,,10,W40X431,W40X431,T,431,127,41.3,41  1/4 ,16.2,16  1/4 ,1.34,1  5/16, 11/16,2.36,2  3/8 ,3.54,3  5/8 ,1  7/8 ,3.44,25.5,34800,1960,1690,16.6,1690,328,208,3.65,177,638000,158,4.41,38.9,969,,,127,143,98.8,115,34      ,7  1/2 ,3    ,W1000X642,W1000X642,642,81900,1050,1050,411,413,34.0,33.3,17.5,59.9,60.3,89.9,92.1,47.6,3.44,25.5,14500,32100,27700,422,703,5370,3410,92.7,73700,171000,102000,629,5590,15900,112,988,3230,3630,2510,2920,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,x2,0,ft,,,,,,y3,0,ft,,,,,,,,,,,,,,11,W40X397,W40X397,T,397,117,41.0,41      ,16.1,16  1/8 ,1.22,1  1/4 ,  5/8 ,2.20,2  3/16,3.38,3  1/2 ,1 13/16,3.66,28.0,32000,1800,1560,16.6,1540,300,191,3.64,142,579000,156,4.38,38.8,891,,,126,142,98.1,114,34      ,7  1/2 ,3    ,W1000X591,W1000X591,591,75500,1040,1040,409,410,31.0,31.8,15.9,55.9,55.6,85.9,88.9,46.0,3.66,28.0,13300,29500,25600,422,641,4920,3130,92.5,59100,155000,101000,574,5210,14600,111,986,3200,3610,2490,2900,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,x3,0,ft,,,,,,y4,0,ft,,,,,,,,,,,,,,12,W40X372,W40X372,T,372,110,40.6,40  5/8 ,16.1,16  1/8 ,1.16,1  3/16,  5/8 ,2.05,2  1/16,3.23,3  5/16,1 13/16,3.93,29.5,29600,1680,1460,16.5,1420,277,177,3.60,116,528000,155,4.33,38.6,829,,,125,141,97.3,113,34      ,7  1/2 ,3    ,W1000X554,W1000X554,554,71000,1030,1030,409,410,29.5,30.2,15.9,52.1,52.4,82.0,84.1,46.0,3.93,29.5,12300,27500,23900,419,591,4540,2900,91.4,48300,142000,100000,533,4830,13600,110,980,3180,3580,2470,2870,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,x4,0,ft,,,,,,y5,0,ft,,,,,,,,,,,,,,13,W40X362,W40X362,T,362,106,40.6,40  1/2 ,16.0,16      ,1.12,1  1/8 ,  9/16,2.01,2      ,3.19,3  1/4 ,1  3/4 ,3.99,30.5,28900,1640,1420,16.5,1380,270,173,3.60,109,513000,154,4.33,38.6,808,,,125,141,97.2,113,34      ,7  1/2 ,3    ,W1000X539,W1000X539,539,68400,1030,1030,406,406,28.4,28.6,14.3,51.1,50.8,81.0,82.6,44.5,3.99,30.5,12000,26900,23300,419,574,4420,2830,91.4,45400,138000,99400,516,4740,13200,110,980,3180,3580,2470,2870,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,x5,0,ft,,,,Modulus Elasticity,,E,29000,ksi,,,,,,,,,,,,,,14,W40X324,W40X324,F,324,95.3,40.2,40  1/8 ,15.9,15  7/8 ,1.00,1      ,  1/2 ,1.81,1 13/16,2.99,3  1/16,1 11/16,4.40,34.2,25600,1460,1280,16.4,1220,239,153,3.58,79.4,448000,153,4.27,38.4,720,,,124,140,96.3,112,34      ,7  1/2 ,3    ,W1000X483,W1000X483,483,61500,1020,1020,404,403,25.4,25.4,12.7,46.0,46.0,75.9,77.8,42.9,4.40,34.2,10700,23900,21000,417,508,3920,2510,90.9,33000,120000,98700,458,4240,11800,108,975,3150,3560,2450,2840,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,y,y1,35,ft,,,,,,,,,,,,,,,,,,,,,,15,W40X297,W40X297,F,297,87.3,39.8,39  7/8 ,15.8,15  7/8 ,0.930, 15/16,  1/2 ,1.65,1  5/8 ,2.83,2 15/16,1 11/16,4.80,36.8,23200,1330,1170,16.3,1090,215,138,3.54,61.2,399000,151,4.22,38.2,652,,,123,139,95.4,111,34      ,7  1/2 ,3    ,W1000X443,W1000X443,443,56300,1010,1010,401,403,23.6,23.8,12.7,41.9,41.3,71.9,74.6,42.9,4.80,36.8,9660,21800,19200,414,454,3520,2260,89.9,25500,107000,97400,409,3830,10700,107,970,3120,3530,2420,2820,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,y2,35,ft,,,,BASED ON AISC SPECIFICATION,,,,,,,,,,,,,,,,,,16,W40X277,W40X277,F,277,81.5,39.7,39  3/4 ,15.8,15  7/8 ,0.830, 13/16,  7/16,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,5.03,41.2,21900,1250,1100,16.4,1040,204,132,3.58,51.5,379000,151,4.25,38.1,614,,,123,139,95.2,111,34      ,7  1/2 ,3    ,W1000X412,W1000X412,412,52600,1010,1010,401,403,21.1,20.6,11.1,40.1,39.7,70.1,73.0,41.3,5.03,41.2,9120,20500,18000,417,433,3340,2160,90.9,21400,102000,97400,391,3690,10100,108,968,3120,3530,2420,2820,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,y3,0,ft,,,,Steel Type,,A1043 GR. 36,,,,,,,,,,,,,,,,17,W40X249,W40X249,F,249,73.5,39.4,39  3/8 ,15.8,15  3/4 ,0.750,  3/4 ,  3/8 ,1.42,1  7/16,2.60,2 11/16,1  9/16,5.55,45.6,19600,1120,993,16.3,926,182,118,3.55,38.1,334000,150,4.21,38.0,551,,,122,138,94.6,110,34      ,7  1/2 ,3    ,W1000X371,W1000X371,371,47400,1000,1000,401,400,19.1,19.0,9.52,36.1,36.5,66.0,68.3,39.7,5.55,45.6,8160,18400,16300,414,385,2980,1930,90.2,15900,89700,96800,350,3330,9030,107,965,3100,3510,2400,2790,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,y4,0,ft,,,,Yield Stress,,Fy,36,ksi,16,,,,,,,,,,,,,18,W40X215,W40X215,F,215,63.5,39.0,39      ,15.8,15  3/4 ,0.650,  5/8 ,  5/16,1.22,1  1/4 ,2.40,2  1/2 ,1  9/16,6.45,52.6,16700,964,859,16.2,803,156,101,3.54,24.8,284000,149,4.19,37.8,473,,,122,138,93.8,110,34      ,7  1/2 ,3    ,W1000X321,W1000X321,321,41000,991,991,401,400,16.5,15.9,7.94,31.0,31.8,61.0,63.5,39.7,6.45,52.6,6950,15800,14100,411,334,2560,1660,89.9,10300,76300,96100,299,2870,7750,106,960,3100,3510,2380,2790,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,y5,0,ft,,,,Tensile Stress,,Fu,58,ksi,,,,,,,,,,,,,,19,W40X199,W40X199,F,199,58.8,38.7,38  5/8 ,15.8,15  3/4 ,0.650,  5/8 ,  5/16,1.07,1  1/16,2.25,2  5/16,1  9/16,7.39,52.6,14900,869,770,16.0,695,137,88.2,3.45,18.3,246000,149,4.12,37.6,427,,,121,137,93.2,109,34      ,7  1/2 ,3    ,W1000X296,W1000X296,296,37900,983,981,401,400,16.5,15.9,7.94,27.2,27.0,57.2,58.7,39.7,7.39,52.6,6200,14200,12600,406,289,2250,1450,87.6,7620,66100,96100,261,2510,7000,105,955,3070,3480,2370,2770,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,W40X392,W40X392,T,392,116,41.6,41  5/8 ,12.4,12  3/8 ,1.42,1  7/16,  3/4 ,2.52,2  1/2 ,3.70,3 13/16,1 15/16,2.45,24.1,29900,1710,1440,16.1,803,212,130,2.64,172,306000,121,3.30,39.1,848,,,116,128,95.6,108,34      ,7  1/2 ,–,W1000X584,W1000X584,584,74800,1060,1060,315,314,36.1,36.5,19.0,64.0,63.5,94.0,96.8,49.2,2.45,24.1,12400,28000,23600,409,334,3470,2130,67.1,71600,82200,78100,394,4420,13900,83.8,993,2950,3250,2430,2740,864,191,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, BASED ON AISC SPECIFICATIONS,,,,,,,,,LOAD AND RESISTANCE FACTOR DESIGN (LRFD),,,,,,,,,,,,,,,,,,21,W40X331,W40X331,T,331,97.7,40.8,40  3/4 ,12.2,12  1/8 ,1.22,1  1/4 ,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,2.86,28.0,24700,1430,1210,15.9,644,172,106,2.57,105,241000,118,3.21,38.7,706,,,114,126,93.8,106,34      ,7  1/2 ,–,W1000X494,W1000X494,494,63000,1040,1040,310,308,31.0,31.8,15.9,54.1,54.0,84.1,85.7,46.0,2.86,28.0,10300,23400,19800,404,268,2820,1740,65.3,43700,64700,76100,319,3700,11600,81.5,983,2900,3200,2380,2690,864,191,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steel Grade,,A529 Gr. 55,,,,,,,Pu= 1.4DL,,Pu,140,kips,,,,,,,,,,,,,,22,W40X327,W40X327,T,327,95.9,40.8,40  3/4 ,12.1,12  1/8 ,1.18,1  3/16,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,2.85,29.0,24500,1410,1200,16.0,640,170,105,2.58,103,239000,117,3.21,38.7,695,,,114,126,93.7,106,34      ,7  1/2 ,–,W1000X486,W1000X486,486,61900,1040,1040,307,308,30.0,30.2,15.9,54.1,54.0,84.1,85.7,46.0,2.85,29.0,10200,23100,19700,406,266,2790,1720,65.5,42900,64200,75500,314,3690,11400,81.5,983,2900,3200,2380,2690,864,191,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yield Stress,,Fy (ksi),55,,,Reference:,14,,Pu= 1.2DL + 1.6LL,,Pu,280,kips,,,,,,,,,,,,,,23,W40X294,W40X294,F,294,86.2,40.4,40  3/8 ,12.0,12      ,1.06,1  1/16,  9/16,1.93,1 15/16,3.11,3  3/16,1  3/4 ,3.11,32.2,21900,1270,1080,15.9,562,150,93.5,2.55,76.6,208000,115,3.16,38.5,622,,,113,125,92.8,105,34      ,7  1/2 ,–,W1000X438,W1000X438,438,55600,1030,1030,305,305,26.9,27.0,14.3,49.0,49.2,79.0,81.0,44.5,3.11,32.2,9120,20800,17700,404,234,2460,1530,64.8,31900,55900,74200,278,3330,10200,80.3,978,2870,3180,2360,2670,864,191,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tensile Stress,,Fu (ksi),70,,,,,,Governing Ultimate Load,,,280,kips,,,,,,,,,,,,,,24,W40X278,W40X278,F,278,82.3,40.2,40  1/8 ,12.0,12      ,1.03,1      ,  1/2 ,1.81,1 13/16,2.99,3  1/16,1  3/4 ,3.31,33.3,20500,1190,1020,15.8,521,140,87.1,2.52,65.0,192000,115,3.13,38.4,587,,,112,124,92.4,104,34      ,7  1/2 ,–,W1000X415,W1000X415,415,53100,1020,1020,305,305,26.2,25.4,12.7,46.0,46.0,75.9,77.8,44.5,3.31,33.3,8530,19500,16700,401,217,2290,1430,64.0,27100,51600,74200,259,3110,9620,79.5,975,2840,3150,2350,2640,864,191,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,W40X264,W40X264,F,264,77.4,40.0,40      ,11.9,11  7/8 ,0.960, 15/16,  1/2 ,1.73,1  3/4 ,2.91,3      ,1 11/16,3.45,35.6,19400,1130,971,15.8,493,132,82.6,2.52,56.1,181000,114,3.12,38.3,555,,,112,124,91.9,104,34      ,7  1/2 ,–,W1000X393,W1000X393,393,49900,1020,1020,302,302,24.4,23.8,12.7,43.9,44.4,73.9,76.2,42.9,3.45,35.6,8070,18500,15900,401,205,2160,1350,64.0,23400,48600,73500,245,2980,9090,79.2,973,2840,3150,2330,2640,864,191,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHECK COMPACTNESS,,,,,,,,,Allowable Strength Design (ASD),,,,,,,,,,,,,,,,,,26,W40X235,W40X235,F,235,69.1,39.7,39  3/4 ,11.9,11  7/8 ,0.830, 13/16,  7/16,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,3.77,41.2,17400,1010,875,15.9,444,118,74.6,2.54,41.3,161000,113,3.11,38.1,495,,,111,123,91.3,103,34      ,7  1/2 ,–,W1000X350,W1000X350,350,44600,1010,1010,302,302,21.1,20.6,11.1,40.1,39.7,70.1,73.0,41.3,3.77,41.2,7240,16600,14300,404,185,1930,1220,64.5,17200,43200,72900,221,2720,8110,79.0,968,2820,3120,2320,2620,864,191,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flange,,λp =,8.725719559,λf<λp<λr,Compact Flange,,,,Pa= DL + LL,,Pa,200,kips,,,,,,,,,,,,,,27,W40X211,W40X211,F,211,62.1,39.4,39  3/8 ,11.8,11  3/4 ,0.750,  3/4 ,  3/8 ,1.42,1  7/16,2.60,2 11/16,1  9/16,4.17,45.6,15500,906,786,15.8,390,105,66.1,2.51,30.4,141000,112,3.07,38.0,442,,,110,122,90.6,102,34      ,7  1/2 ,–,W1000X314,W1000X314,314,40100,1000,1000,300,298,19.1,19.0,9.52,36.1,36.5,66.0,68.3,39.7,4.17,45.6,6450,14800,12900,401,162,1720,1080,63.8,12700,37900,72300,195,2430,7240,78.0,965,2790,3100,2300,2590,864,191,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,λr =,22.96241989,,,,,,,,,,,,,,,,,,,,,,,,28,W40X183,W40X183,F,183,53.3,39.0,39      ,11.8,11  3/4 ,0.650,  5/8 ,  5/16,1.20,1  3/16,2.38,2  1/2 ,1  9/16,4.92,52.6,13200,774,675,15.7,331,88.3,56.0,2.49,19.3,118000,112,3.04,37.8,376,,,110,122,89.8,102,34      ,7  1/2 ,–,W1000X272,W1000X272,272,34400,991,991,300,298,16.5,15.9,7.94,30.5,30.2,60.5,63.5,39.7,4.92,52.6,5490,12700,11100,399,138,1450,918,63.2,8030,31700,72300,164,2060,6160,77.2,960,2790,3100,2280,2590,864,191,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Web,,λp =,86.33869879,λw<λp,Compact Web,,,,CRITICAL SLENDERNESS RATIO,,,,,,,,,,,,,,,,,,29,W40X167,W40X167,F,167,49.3,38.6,38  5/8 ,11.8,11  3/4 ,0.650,  5/8 ,  5/16,1.03,1      ,2.21,2  5/16,1  9/16,5.76,52.6,11600,693,600,15.3,283,76.0,47.9,2.40,14.0,99700,111,2.98,37.6,336,,,109,121,89.0,101,34      ,7  1/2 ,–,W1000X249,W1000X249,249,31800,980,981,300,298,16.5,15.9,7.94,26.2,25.4,56.1,58.7,39.7,5.76,52.6,4830,11400,9830,389,118,1250,785,61.0,5830,26800,71600,140,1750,5510,75.7,955,2770,3070,2260,2570,864,191,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,λr =,130.8857934,,,,,,Element,Length (L),K,KL,Connection,,,,,,,,,,,,,,30,W40X149,W40X149,F,149,43.8,38.2,38  1/4 ,11.8,11  3/4 ,0.630,  5/8 ,  5/16,0.830, 13/16,2.01,2  1/8 ,1  1/2 ,7.11,54.3,9800,598,513,15.0,229,62.2,38.8,2.29,9.36,80000,110,2.89,37.4,288,,,108,120,88.2,100,34      ,7  1/2 ,–,W1000X222,W1000X222,222,28300,970,972,300,298,16.0,15.9,7.94,21.1,20.6,51.1,54.0,38.1,7.11,54.3,4080,9800,8410,381,95.3,1020,636,58.2,3900,21500,71000,112,1420,4720,73.4,950,2740,3050,2240,2540,864,191,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,x1,80,0.8,64,Fixed-Pinned,,,,,,,,,,,,,,31,W36X925,W36X925,T,925,272,43.1,43  1/8 ,18.6,18  5/8 ,3.02,3      ,1  1/2 ,4.53,4  1/2 ,5.28,5  3/8 ,2  5/16,2.05,10.8,73000,4130,3390,16.4,4940,862,531,4.26,1430,1840000,179,5.30,38.6,2060,,,134,153,105,124,32  3/8 ,7  1/2 ,3    ,W920X1377,W920X1377,1380,175000,1090,1100,472,473,76.7,76.2,38.1,115,114,134,137,58.7,2.05,10.8,30400,67700,55600,417,2060,14100,8700,108,595000,494000,115000,1570,11200,33800,135,980,3400,3890,2670,3150,822,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
