Type,EDI_Std_Nomenclature,AISC_Manual_Label,Design Wall Thickness,Nominal Weight,"Area, A","Depth, d",,Web/Stem,,,,Flange,,,,Distance,,,,,,Shear Critical,Compact Section Criteria,,,b/t,h/t,D/t,Axis X - X,,,,,,Axis Y - Y,,,,,,Axis Z - Z,,,,rts,ho,J/Sxho,Workable Flat,,Torsional Properties,,,,, Surface Area 
,,,,,,,,,,,,,,,,k,,k1,T,Workable Gage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,t,W,,,,"Thickness, tw",,tw/2,Area,"Width, bf",,"Thickness, tf",,kdes,kdet,,,WGi,WGo,eo,,,,,,,I,S,r,y?,Z,yp,I,S,r,x?,Z,xp,I,S,r,tan ?,,,,Depth,Width,J,C,Cw,r?o,H,
,,,in.,lb/ft,in.2,in.,,in.,,in.,in.2,in.,,in.,,in.,,in.,in.,in.,in.,in.,bf/2tf,h/tw,d/tw,,,,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,,in.,in.,,in.,in.,in.4,in.3,in.6,in.,, ft2/ft 
W,W40X277,W40X277,–,277,81.5,39.7,39  3/4 ,0.830, 13/16,  7/16,–,15.8,15  7/8 ,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,34      ,7  1/2 ,3    ,–,5.03,41.2,–,–,–,–,21900,1100,16.4,–,1250,–,1040,132,3.58,–,204,–,–,–,–,–,4.25,38.1,0.001229,–,–,51.5,–,379000,–,–,–
W,W40X249,W40X249,–,249,73.5,39.4,39  3/8 ,0.750,  3/4 ,  3/8 ,–,15.8,15  3/4 ,1.42,1  7/16,2.60,2 11/16,1  9/16,34      ,7  1/2 ,3    ,–,5.55,45.6,–,–,–,–,19600,993,16.3,–,1120,–,926,118,3.55,–,182,–,–,–,–,–,4.21,38.0,0.001010,–,–,38.1,–,334000,–,–,–
W,W40X215,W40X215,–,215,63.5,39.0,39      ,0.650,  5/8 ,  5/16,–,15.8,15  3/4 ,1.22,1  1/4 ,2.40,2  1/2 ,1  9/16,34      ,7  1/2 ,3    ,–,6.45,52.6,–,–,–,–,16700,859,16.2,–,964,–,803,101,3.54,–,156,–,–,–,–,–,4.19,37.8,0.000764,–,–,24.8,–,284000,–,–,–
W,W40X199,W40X199,–,199,58.8,38.7,38  5/8 ,0.650,  5/8 ,  5/16,–,15.8,15  3/4 ,1.07,1  1/16,2.25,2  5/16,1  9/16,34      ,7  1/2 ,3    ,–,7.39,52.6,–,–,–,–,14900,770,16.0,–,869,–,695,88.2,3.45,–,137,–,–,–,–,–,4.12,37.6,0.000632,–,–,18.3,–,246000,–,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X392,W40X392,–,392,116,41.6,41  5/8 ,1.42,1  7/16,  3/4 ,–,12.4,12  3/8 ,2.52,2  1/2 ,3.70,3 13/16,1 15/16,34      ,7  1/2 ,–,–,2.45,24.1,–,–,–,–,29900,1440,16.1,–,1710,–,803,130,2.64,–,212,–,–,–,–,–,3.30,39.1,0.003055,–,–,172,–,306000,–,–,–
W,W40X331,W40X331,–,331,97.7,40.8,40  3/4 ,1.22,1  1/4 ,  5/8 ,–,12.2,12  1/8 ,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,34      ,7  1/2 ,–,–,2.86,28.0,–,–,–,–,24700,1210,15.9,–,1430,–,644,106,2.57,–,172,–,–,–,–,–,3.21,38.7,0.002242,–,–,105,–,241000,–,–,–
W,W40X327,W40X327,–,327,95.9,40.8,40  3/4 ,1.18,1  3/16,  5/8 ,–,12.1,12  1/8 ,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,34      ,7  1/2 ,–,–,2.85,29.0,–,–,–,–,24500,1200,16.0,–,1410,–,640,105,2.58,–,170,–,–,–,–,–,3.21,38.7,0.002218,–,–,103,–,239000,–,–,–
W,W40X294,W40X294,–,294,86.2,40.4,40  3/8 ,1.06,1  1/16,  9/16,–,12.0,12      ,1.93,1 15/16,3.11,3  3/16,1  3/4 ,34      ,7  1/2 ,–,–,3.11,32.2,–,–,–,–,21900,1080,15.9,–,1270,–,562,93.5,2.55,–,150,–,–,–,–,–,3.16,38.5,0.001842,–,–,76.6,–,208000,–,–,–
W,W40X278,W40X278,–,278,82.3,40.2,40  1/8 ,1.03,1      ,  1/2 ,–,12.0,12      ,1.81,1 13/16,2.99,3  1/16,1  3/4 ,34      ,7  1/2 ,–,–,3.31,33.3,–,–,–,–,20500,1020,15.8,–,1190,–,521,87.1,2.52,–,140,–,–,–,–,–,3.13,38.4,0.001660,–,–,65.0,–,192000,–,–,–
