Type,EDI_Std_Nomenclature,AISC_Manual_Label,Design Wall Thickness,Nominal Weight,"Area, A","Depth, d",,Web/Stem,,,,Flange,,,,Distance,,,,,,Shear Critical,Compact Section Criteria,,,b/t,h/t,D/t,Axis X - X,,,,,,Axis Y - Y,,,,,,Axis Z - Z,,,,rts,ho,J/Sxho,Workable Flat,,Torsional Properties,,,,, Surface Area 
,,,,,,,,,,,,,,,,k,,k1,T,Workable Gage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,t,W,,,,"Thickness, tw",,tw/2,Area,"Width, bf",,"Thickness, tf",,kdes,kdet,,,WGi,WGo,eo,,,,,,,I,S,r,y?,Z,yp,I,S,r,x?,Z,xp,I,S,r,tan ?,,,,Depth,Width,J,C,Cw,r?o,H,
,,,in.,lb/ft,in.2,in.,,in.,,in.,in.2,in.,,in.,,in.,,in.,in.,in.,in.,in.,bf/2tf,h/tw,d/tw,,,,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,,in.,in.,,in.,in.,in.4,in.3,in.6,in.,, ft2/ft 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,MC6X18,MC6X18,–,18.0,5.29,6.00,6      ,0.379,  3/8 ,  3/16,–,3.50,3  1/2 ,0.475,  1/2 ,1.06,1  1/16,–,3  7/8 ,2      ,–,1.17,–,9.81,–,–,–,–,29.7,9.89,2.37,–,11.7,–,5.88,2.47,1.05,1.12,4.68,0.644,–,–,–,–,1.20,5.53,0.006930,–,–,0.379,–,34.6,3.46,0.563,–
MC,MC6X15.3,MC6X15.3,–,15.3,4.49,6.00,6      ,0.340,  5/16,  3/16,–,3.50,3  1/2 ,0.385,  3/8 ,0.875,  7/8 ,–,4  1/4 ,2      ,–,1.16,–,11.9,–,–,–,–,25.3,8.44,2.38,–,9.91,–,4.91,2.01,1.05,1.05,3.85,0.511,–,–,–,–,1.20,5.62,0.004701,–,–,0.223,–,30.0,3.41,0.579,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,MC6X16.3,MC6X16.3,–,16.3,4.79,6.00,6      ,0.375,  3/8 ,  3/16,–,3.00,3      ,0.475,  1/2 ,1.06,1  1/16,–,3  7/8 ,1  3/4 ,–,0.930,–,10.1,–,–,–,–,26.0,8.66,2.33,–,10.4,–,3.77,1.82,0.887,0.927,3.47,0.465,–,–,–,–,1.03,5.53,0.007016,–,–,0.336,–,22.1,3.11,0.643,–
MC,MC6X15.1,MC6X15.1,–,15.1,4.44,6.00,6      ,0.316,  5/16,  3/16,–,2.94,3      ,0.475,  1/2 ,1.06,1  1/16,–,3  7/8 ,1  3/4 ,–,0.982,–,12.0,–,–,–,–,24.9,8.30,2.37,–,9.83,–,3.46,1.73,0.883,0.940,3.30,0.543,–,–,–,–,1.01,5.53,0.006209,–,–,0.285,–,20.5,3.18,0.634,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,MC6X12,MC6X12,–,12.0,3.53,6.00,6      ,0.310,  5/16,  3/16,–,2.50,2  1/2 ,0.375,  3/8 ,0.875,  7/8 ,–,4  1/4 ,1  1/2 ,–,0.725,–,13.7,–,–,–,–,18.7,6.24,2.30,–,7.47,–,1.85,1.03,0.724,0.704,1.97,0.294,–,–,–,–,0.856,5.63,0.004412,–,–,0.155,–,11.3,2.80,0.740,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,MC6X7,MC6X7,–,7.00,2.09,6.00,6      ,0.179,  3/16,  1/8 ,–,1.88,1  7/8 ,0.291,  5/16,0.750,  3/4 ,–,4  1/2 ,–,–,0.583,–,25.1,–,–,–,–,11.4,3.81,2.34,–,4.50,–,0.603,0.439,0.537,0.501,0.865,0.174,–,–,–,–,0.638,5.71,0.002133,–,–,0.0464,–,4.00,2.63,0.830,–
MC,MC6X6.5,MC6X6.5,–,6.50,1.95,6.00,6      ,0.155,  1/8 ,  1/16,–,1.85,1  7/8 ,0.291,  5/16,0.750,  3/4 ,–,4  1/2 ,–,–,0.612,–,29.0,–,–,–,–,11.0,3.66,2.38,–,4.28,–,0.565,0.422,0.539,0.513,0.836,0.191,–,–,–,–,0.631,5.71,0.001971,–,–,0.0412,–,3.75,2.68,0.824,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,MC4X13.8,MC4X13.8,–,13.8,4.03,4.00,4      ,0.500,  1/2 ,  1/4 ,–,2.50,2  1/2 ,0.500,  1/2 ,1.00,1      ,–,2      ,–,–,0.643,–,4.05,–,–,–,–,8.85,4.43,1.48,–,5.53,–,2.13,1.29,0.727,0.849,2.40,0.508,–,–,–,–,0.851,3.50,0.024057,–,–,0.373,–,4.84,2.23,0.550,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC,MC3X7.1,MC3X7.1,–,7.10,2.11,3.00,3      ,0.312,  5/16,  3/16,–,1.94,2      ,0.351,  3/8 ,0.813, 13/16,–,1  3/8 ,–,–,0.574,–,4.43,–,–,–,–,2.72,1.81,1.14,–,2.24,–,0.666,0.518,0.562,0.653,0.998,0.414,–,–,–,–,0.657,2.65,0.019347,–,–,0.0928,–,0.915,1.76,0.516,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,L12X12X1-3/8,L12X12X1-3/8,–,105,31.1,12.0,–,–,1  3/8 ,–,–,–,–,–,–,2.09,2  1/16,–,–,–,–,–,–,–,–,–,–,–,413,48.6,3.64,3.50,88.1,1.30,413,48.6,3.64,3.50,88.1,1.30,165,33.3,2.30,1.00,–,–,–,–,–,19.9,–,211,6.51,0.627,–
L,L12X12X1-1/4,L12X12X1-1/4,–,96.4,28.4,12.0,–,–,1  1/4 ,–,–,–,–,–,–,1.96,1 15/16,–,–,–,–,–,–,–,–,–,–,–,381,44.6,3.66,3.45,80.7,1.18,381,44.6,3.66,3.45,80.7,1.18,152,31.1,2.31,1.00,–,–,–,–,–,14.9,–,160,6.54,0.627,–
L,L12X12X1-1/8,L12X12X1-1/8,–,87.2,25.8,12.0,–,–,1  1/8 ,–,–,–,–,–,–,1.84,1 13/16,–,–,–,–,–,–,–,–,–,–,–,350,40.7,3.68,3.41,73.7,1.08,350,40.7,3.68,3.41,73.7,1.08,140,29.0,2.33,1.00,–,–,–,–,–,11.1,–,120,6.58,0.626,–
L,L12X12X1,L12X12X1,–,77.8,23.0,12.0,–,–,1      ,–,–,–,–,–,–,1.71,1 11/16,–,–,–,–,–,–,–,–,–,–,–,315,36.5,3.70,3.36,65.9,0.958,315,36.5,3.70,3.36,65.9,0.958,126,26.5,2.34,1.00,–,–,–,–,–,7.80,–,84.5,6.61,0.626,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,L10X10X1-3/8,L10X10X1-3/8,–,87.1,25.6,10.0,–,–,1  3/8 ,–,–,–,–,–,–,2.18,2  3/16,–,–,–,–,–,–,–,–,–,–,–,231,33.0,3.00,3.00,59.9,1.28,231,33.0,3.00,3.00,59.8,1.28,93.3,22.0,1.91,1.00,–,–,–,–,–,16.4,–,118,5.36,0.629,–
L,L10X10X1-1/4,L10X10X1-1/4,–,79.9,23.4,10.0,–,–,1  1/4 ,–,–,–,–,–,–,2.05,2  1/16,–,–,–,–,–,–,–,–,–,–,–,213,30.2,3.02,2.95,54.9,1.17,213,30.2,3.02,2.95,54.9,1.17,85.4,20.5,1.91,1.00,–,–,–,–,–,12.3,–,89.4,5.39,0.628,–
L,L10X10X1-1/8,L10X10X1-1/8,–,72.3,21.3,10.0,–,–,1  1/8 ,–,–,–,–,–,–,1.93,1 15/16,–,–,–,–,–,–,–,–,–,–,–,196,27.6,3.03,2.90,50.2,1.07,196,27.6,3.03,2.90,50.2,1.07,78.2,19.1,1.92,1.00,–,–,–,–,–,9.21,–,67.3,5.41,0.627,–
L,L10X10X1,L10X10X1,–,64.7,19.0,10.0,–,–,1      ,–,–,–,–,–,–,1.80,1 13/16,–,–,–,–,–,–,–,–,–,–,–,177,24.8,3.05,2.86,45.0,0.950,177,24.8,3.05,2.86,45.0,0.950,70.4,17.4,1.92,1.00,–,–,–,–,–,6.46,–,47.6,5.46,0.626,–
L,L10X10X7/8,L10X10X7/8,–,56.9,16.8,10.0,–,–,  7/8 ,–,–,–,–,–,–,1.68,1 11/16,–,–,–,–,–,–,–,–,–,–,–,158,21.9,3.07,2.80,39.9,0.840,158,21.9,3.07,2.80,39.9,0.840,62.8,15.9,1.93,1.00,–,–,–,–,–,4.39,–,32.5,5.47,0.627,–
L,L10X10X3/4,L10X10X3/4,–,49.1,14.5,10.0,–,–,  3/4 ,–,–,–,–,–,–,1.55,1  9/16,–,–,–,–,–,–,–,–,–,–,–,139,19.2,3.10,2.76,34.6,0.725,139,19.2,3.10,2.76,34.6,0.725,55.7,14.3,1.96,1.00,–,–,–,–,–,2.80,–,20.9,5.53,0.628,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,L8X8X1-1/8,L8X8X1-1/8,–,56.9,16.8,8.00,–,–,1  1/8 ,–,–,–,–,–,–,1.75,1  3/4 ,–,–,–,–,–,–,–,–,–,–,–,98.1,17.5,2.41,2.40,31.6,1.05,98.1,17.5,2.41,2.40,31.6,1.05,40.7,12.0,1.56,1.00,–,–,–,–,–,7.13,–,32.5,4.29,0.630,–
L,L8X8X1,L8X8X1,–,51.0,15.1,8.00,–,–,1      ,–,–,–,–,–,–,1.63,1  5/8 ,–,–,–,–,–,–,–,–,–,–,–,89.1,15.8,2.43,2.36,28.5,0.944,89.1,15.8,2.43,2.36,28.5,0.944,36.8,11.0,1.56,1.00,–,–,–,–,–,5.08,–,23.4,4.32,0.630,–
L,L8X8X7/8,L8X8X7/8,–,45.0,13.3,8.00,–,–,  7/8 ,–,–,–,–,–,–,1.50,1  1/2 ,–,–,–,–,–,–,–,–,–,–,–,79.7,14.0,2.45,2.31,25.3,0.831,79.7,14.0,2.45,2.31,25.3,0.831,32.7,10.0,1.57,1.00,–,–,–,–,–,3.46,–,16.1,4.36,0.630,–
L,L8X8X3/4,L8X8X3/4,–,38.9,11.5,8.00,–,–,  3/4 ,–,–,–,–,–,–,1.38,1  3/8 ,–,–,–,–,–,–,–,–,–,–,–,69.9,12.2,2.46,2.26,22.0,0.719,69.9,12.2,2.46,2.26,22.0,0.719,28.5,8.91,1.57,1.00,–,–,–,–,–,2.21,–,10.4,4.39,0.630,–
L,L8X8X5/8,L8X8X5/8,–,32.7,9.69,8.00,–,–,  5/8 ,–,–,–,–,–,–,1.25,1  1/4 ,–,–,–,–,–,–,–,–,–,–,–,59.6,10.3,2.48,2.21,18.6,0.606,59.6,10.3,2.48,2.21,18.6,0.606,24.2,7.73,1.58,1.00,–,–,–,–,–,1.30,–,6.16,4.42,0.630,–
L,L8X8X9/16,L8X8X9/16,–,29.6,8.77,8.00,–,–,  9/16,–,–,–,–,–,–,1.19,1  3/16,–,–,–,–,–,–,–,–,–,–,–,54.2,9.33,2.49,2.19,16.8,0.548,54.2,9.33,2.49,2.19,16.8,0.548,21.9,7.06,1.58,1.00,–,–,–,–,–,0.961,–,4.55,4.43,0.630,–
L,L8X8X1/2,L8X8X1/2,–,26.4,7.84,8.00,–,–,  1/2 ,–,–,–,–,–,–,1.13,1  1/8 ,–,–,–,–,–,–,–,–,–,–,–,48.8,8.36,2.49,2.17,15.1,0.490,48.8,8.36,2.49,2.17,15.1,0.490,19.8,6.45,1.59,1.00,–,–,–,–,–,0.683,–,3.23,4.45,0.630,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,L8X6X1,L8X6X1,–,44.2,13.1,6.00,–,–,1      ,–,–,–,–,–,–,1.50,1  1/2 ,–,–,–,–,–,–,–,–,–,–,–,80.9,15.1,2.49,2.65,27.3,1.45,38.8,8.92,1.72,1.65,16.2,0.819,21.3,7.61,1.28,0.542,–,–,–,–,–,4.34,–,16.3,3.88,–,–
L,L8X6X7/8,L8X6X7/8,–,39.1,11.5,6.00,–,–,  7/8 ,–,–,–,–,–,–,1.38,1  3/8 ,–,–,–,–,–,–,–,–,–,–,–,72.4,13.4,2.50,2.60,24.3,1.43,34.9,7.94,1.74,1.60,14.4,0.719,18.9,6.70,1.28,0.546,–,–,–,–,–,2.96,–,11.3,3.92,–,–
L,L8X6X3/4,L8X6X3/4,–,33.8,9.99,6.00,–,–,  3/4 ,–,–,–,–,–,–,1.25,1  1/4 ,–,–,–,–,–,–,–,–,–,–,–,63.5,11.7,2.52,2.55,21.1,1.34,30.8,6.92,1.75,1.56,12.5,0.624,16.6,5.85,1.29,0.550,–,–,–,–,–,1.90,–,7.28,3.95,–,–
L,L8X6X5/8,L8X6X5/8,–,28.5,8.41,6.00,–,–,  5/8 ,–,–,–,–,–,–,1.13,1  1/8 ,–,–,–,–,–,–,–,–,–,–,–,54.2,9.86,2.54,2.50,17.9,1.27,26.4,5.88,1.77,1.51,10.5,0.526,14.1,4.91,1.29,0.554,–,–,–,–,–,1.12,–,4.33,3.98,–,–
L,L8X6X9/16,L8X6X9/16,–,25.7,7.61,6.00,–,–,  9/16,–,–,–,–,–,–,1.06,1  1/16,–,–,–,–,–,–,–,–,–,–,–,49.4,8.94,2.55,2.48,16.2,1.24,24.1,5.34,1.78,1.49,9.52,0.476,12.8,4.46,1.30,0.556,–,–,–,–,–,0.823,–,3.20,3.99,–,–
L,L8X6X1/2,L8X6X1/2,–,23.0,6.80,6.00,–,–,  1/2 ,–,–,–,–,–,–,1.00,1      ,–,–,–,–,–,–,–,–,–,–,–,44.4,8.01,2.55,2.46,14.6,1.20,21.7,4.79,1.79,1.46,8.52,0.425,11.5,3.98,1.30,0.557,–,–,–,–,–,0.584,–,2.28,4.01,–,–
L,L8X6X7/16,L8X6X7/16,–,20.2,5.99,6.00,–,–,  7/16,–,–,–,–,–,–,0.938, 15/16,–,–,–,–,–,–,–,–,–,–,–,39.3,7.06,2.56,2.43,12.9,1.15,19.3,4.23,1.80,1.44,7.50,0.374,10.2,3.52,1.31,0.559,–,–,–,–,–,0.396,–,1.55,4.02,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,L8X4X1,L8X4X1,–,37.4,11.1,4.00,–,–,1      ,–,–,–,–,–,–,1.50,1  1/2 ,–,–,–,–,–,–,–,–,–,–,–,69.7,14.0,2.51,3.03,24.3,2.45,11.6,3.94,1.03,1.04,7.73,0.694,7.83,3.45,0.844,0.247,–,–,–,–,–,3.68,–,12.9,3.75,–,–
L,L8X4X7/8,L8X4X7/8,–,33.1,9.79,4.00,–,–,  7/8 ,–,–,–,–,–,–,1.38,1  3/8 ,–,–,–,–,–,–,–,–,–,–,–,62.6,12.5,2.53,2.99,21.7,2.41,10.5,3.51,1.04,0.997,6.77,0.612,6.97,3.04,0.846,0.252,–,–,–,–,–,2.51,–,8.89,3.78,–,–
L,L8X4X3/4,L8X4X3/4,–,28.7,8.49,4.00,–,–,  3/4 ,–,–,–,–,–,–,1.25,1  1/4 ,–,–,–,–,–,–,–,–,–,–,–,55.0,10.9,2.55,2.94,18.9,2.34,9.37,3.07,1.05,0.949,5.82,0.531,6.14,2.65,0.850,0.257,–,–,–,–,–,1.61,–,5.75,3.80,–,–
L,L8X4X5/8,L8X4X5/8,–,24.2,7.16,4.00,–,–,  5/8 ,–,–,–,–,–,–,1.13,1  1/8 ,–,–,–,–,–,–,–,–,–,–,–,47.0,9.20,2.56,2.89,16.1,2.27,8.11,2.62,1.06,0.902,4.86,0.448,5.24,2.24,0.856,0.262,–,–,–,–,–,0.955,–,3.42,3.83,–,–
L,L8X4X9/16,L8X4X9/16,–,21.9,6.49,4.00,–,–,  9/16,–,–,–,–,–,–,1.06,1  1/16,–,–,–,–,–,–,–,–,–,–,–,42.9,8.34,2.57,2.86,14.6,2.23,7.44,2.38,1.07,0.878,4.39,0.406,4.78,2.03,0.859,0.264,–,–,–,–,–,0.704,–,2.53,3.84,–,–
L,L8X4X1/2,L8X4X1/2,–,19.6,5.80,4.00,–,–,  1/2 ,–,–,–,–,–,–,1.00,1      ,–,–,–,–,–,–,–,–,–,–,–,38.6,7.48,2.58,2.84,13.1,2.20,6.75,2.15,1.08,0.854,3.91,0.363,4.32,1.82,0.863,0.266,–,–,–,–,–,0.501,–,1.80,3.86,–,–
L,L8X4X7/16,L8X4X7/16,–,17.2,5.11,4.00,–,–,  7/16,–,–,–,–,–,–,0.938, 15/16,–,–,–,–,–,–,–,–,–,–,–,34.2,6.59,2.59,2.81,11.6,2.16,6.03,1.90,1.09,0.829,3.42,0.319,3.84,1.61,0.867,0.268,–,–,–,–,–,0.340,–,1.22,3.87,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,L7X4X3/4,L7X4X3/4,–,26.2,7.74,4.00,–,–,  3/4 ,–,–,–,–,–,–,1.25,1  1/4 ,–,–,–,–,–,–,–,–,–,–,–,37.8,8.39,2.21,2.50,14.8,1.84,9.00,3.01,1.08,1.00,5.60,0.553,5.63,2.56,0.855,0.324,–,–,–,–,–,1.47,–,3.97,3.31,–,–
L,L7X4X5/8,L7X4X5/8,–,22.1,6.50,4.00,–,–,  5/8 ,–,–,–,–,–,–,1.13,1  1/8 ,–,–,–,–,–,–,–,–,–,–,–,32.4,7.12,2.23,2.45,12.5,1.80,7.79,2.56,1.10,0.958,4.69,0.464,4.81,2.17,0.860,0.329,–,–,–,–,–,0.868,–,2.37,3.34,–,–
L,L7X4X1/2,L7X4X1/2,–,17.9,5.26,4.00,–,–,  1/2 ,–,–,–,–,–,–,1.00,1      ,–,–,–,–,–,–,–,–,–,–,–,26.6,5.79,2.25,2.40,10.2,1.74,6.48,2.10,1.11,0.910,3.77,0.376,3.94,1.75,0.866,0.334,–,–,–,–,–,0.456,–,1.25,3.37,–,–
L,L7X4X7/16,L7X4X7/16,–,15.7,4.63,4.00,–,–,  7/16,–,–,–,–,–,–,0.938, 15/16,–,–,–,–,–,–,–,–,–,–,–,23.6,5.11,2.26,2.38,9.03,1.71,5.79,1.86,1.12,0.886,3.31,0.331,3.50,1.55,0.869,0.337,–,–,–,–,–,0.310,–,0.851,3.38,–,–
L,L7X4X3/8,L7X4X3/8,–,13.6,4.00,4.00,–,–,  3/8 ,–,–,–,–,–,–,0.875,  7/8 ,–,–,–,–,–,–,–,–,–,–,–,20.5,4.42,2.27,2.35,7.81,1.67,5.06,1.61,1.12,0.861,2.84,0.286,3.04,1.33,0.873,0.339,–,–,–,–,–,0.198,–,0.544,3.40,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,L6X6X1,L6X6X1,–,37.4,11.0,6.00,–,–,1      ,–,–,–,–,–,–,1.50,1  1/2 ,–,–,–,–,–,–,–,–,–,–,–,35.4,8.55,1.79,1.86,15.4,0.917,35.4,8.55,1.79,1.86,15.4,0.917,14.9,5.67,1.17,1.00,–,–,–,–,–,3.68,–,9.24,3.18,0.640,–
L,L6X6X7/8,L6X6X7/8,–,33.1,9.75,6.00,–,–,  7/8 ,–,–,–,–,–,–,1.38,1  3/8 ,–,–,–,–,–,–,–,–,–,–,–,31.9,7.61,1.81,1.81,13.7,0.813,31.9,7.61,1.81,1.81,13.7,0.813,13.3,5.20,1.17,1.00,–,–,–,–,–,2.51,–,6.41,3.21,0.630,–
L,L6X6X3/4,L6X6X3/4,–,28.7,8.46,6.00,–,–,  3/4 ,–,–,–,–,–,–,1.25,1  1/4 ,–,–,–,–,–,–,–,–,–,–,–,28.1,6.64,1.82,1.77,11.9,0.705,28.1,6.64,1.82,1.77,11.9,0.705,11.6,4.64,1.17,1.00,–,–,–,–,–,1.61,–,4.17,3.24,0.630,–
L,L6X6X5/8,L6X6X5/8,–,24.2,7.13,6.00,–,–,  5/8 ,–,–,–,–,–,–,1.13,1  1/8 ,–,–,–,–,–,–,–,–,–,–,–,24.1,5.64,1.84,1.72,10.1,0.594,24.1,5.64,1.84,1.72,10.1,0.594,9.81,4.04,1.17,1.00,–,–,–,–,–,0.955,–,2.50,3.28,0.630,–
L,L6X6X9/16,L6X6X9/16,–,21.9,6.45,6.00,–,–,  9/16,–,–,–,–,–,–,1.06,1  1/16,–,–,–,–,–,–,–,–,–,–,–,22.0,5.12,1.85,1.70,9.18,0.538,22.0,5.12,1.85,1.70,9.18,0.538,8.90,3.71,1.18,1.00,–,–,–,–,–,0.704,–,1.85,3.29,0.630,–
L,L6X6X1/2,L6X6X1/2,–,19.6,5.77,6.00,–,–,  1/2 ,–,–,–,–,–,–,1.00,1      ,–,–,–,–,–,–,–,–,–,–,–,19.9,4.59,1.86,1.67,8.22,0.481,19.9,4.59,1.86,1.67,8.22,0.481,8.06,3.42,1.18,1.00,–,–,–,–,–,0.501,–,1.32,3.31,0.630,–
L,L6X6X7/16,L6X6X7/16,–,17.2,5.08,6.00,–,–,  7/16,–,–,–,–,–,–,0.938, 15/16,–,–,–,–,–,–,–,–,–,–,–,17.6,4.06,1.86,1.65,7.25,0.423,17.6,4.06,1.86,1.65,7.25,0.423,7.05,3.03,1.18,1.00,–,–,–,–,–,0.340,–,0.899,3.32,0.630,–
L,L6X6X3/8,L6X6X3/8,–,14.9,4.38,6.00,–,–,  3/8 ,–,–,–,–,–,–,0.875,  7/8 ,–,–,–,–,–,–,–,–,–,–,–,15.4,3.51,1.87,1.62,6.27,0.365,15.4,3.51,1.87,1.62,6.27,0.365,6.21,2.71,1.19,1.00,–,–,–,–,–,0.218,–,0.575,3.34,0.630,–
L,L6X6X5/16,L6X6X5/16,–,12.4,3.67,6.00,–,–,  5/16,–,–,–,–,–,–,0.813, 13/16,–,–,–,–,–,–,–,–,–,–,–,13.0,2.95,1.88,1.60,5.26,0.306,13.0,2.95,1.88,1.60,5.26,0.306,5.20,2.30,1.19,1.00,–,–,–,–,–,0.129,–,0.338,3.35,0.630,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,L6X4X7/8,L6X4X7/8,–,27.2,8.00,4.00,–,–,  7/8 ,–,–,–,–,–,–,1.38,1  3/8 ,–,–,–,–,–,–,–,–,–,–,–,27.7,7.13,1.86,2.12,12.7,1.43,9.70,3.37,1.10,1.12,6.26,0.667,5.82,2.91,0.854,0.421,–,–,–,–,–,2.03,–,4.04,2.82,–,–
L,L6X4X3/4,L6X4X3/4,–,23.6,6.94,4.00,–,–,  3/4 ,–,–,–,–,–,–,1.25,1  1/4 ,–,–,–,–,–,–,–,–,–,–,–,24.5,6.23,1.88,2.07,11.1,1.37,8.63,2.95,1.12,1.07,5.42,0.578,5.08,2.50,0.856,0.428,–,–,–,–,–,1.31,–,2.64,2.85,–,–
L,L6X4X5/8,L6X4X5/8,–,20.0,5.86,4.00,–,–,  5/8 ,–,–,–,–,–,–,1.13,1  1/8 ,–,–,–,–,–,–,–,–,–,–,–,21.0,5.29,1.89,2.03,9.44,1.31,7.48,2.52,1.13,1.03,4.56,0.488,4.32,2.12,0.859,0.435,–,–,–,–,–,0.775,–,1.59,2.88,–,–
L,L6X4X9/16,L6X4X9/16,–,18.1,5.31,4.00,–,–,  9/16,–,–,–,–,–,–,1.06,1  1/16,–,–,–,–,–,–,–,–,–,–,–,19.2,4.81,1.90,2.00,8.59,1.28,6.86,2.29,1.14,1.00,4.13,0.443,3.93,1.91,0.861,0.438,–,–,–,–,–,0.572,–,1.18,2.90,–,–
L,L6X4X1/2,L6X4X1/2,–,16.2,4.75,4.00,–,–,  1/2 ,–,–,–,–,–,–,1.00,1      ,–,–,–,–,–,–,–,–,–,–,–,17.3,4.31,1.91,1.98,7.71,1.25,6.22,2.06,1.14,0.981,3.69,0.396,3.54,1.72,0.864,0.440,–,–,–,–,–,0.407,–,0.843,2.91,–,–
L,L6X4X7/16,L6X4X7/16,–,14.3,4.18,4.00,–,–,  7/16,–,–,–,–,–,–,0.938, 15/16,–,–,–,–,–,–,–,–,–,–,–,15.4,3.81,1.92,1.95,6.81,1.22,5.56,1.83,1.15,0.957,3.24,0.348,3.14,1.51,0.867,0.443,–,–,–,–,–,0.276,–,0.575,2.93,–,–
L,L6X4X3/8,L6X4X3/8,–,12.3,3.61,4.00,–,–,  3/8 ,–,–,–,–,–,–,0.875,  7/8 ,–,–,–,–,–,–,–,–,–,–,–,13.4,3.30,1.93,1.93,5.89,1.19,4.86,1.58,1.16,0.933,2.79,0.301,2.73,1.31,0.870,0.446,–,–,–,–,–,0.177,–,0.369,2.94,–,–
L,L6X4X5/16,L6X4X5/16,–,10.3,3.03,4.00,–,–,  5/16,–,–,–,–,–,–,0.813, 13/16,–,–,–,–,–,–,–,–,–,–,–,11.4,2.77,1.94,1.90,4.96,1.15,4.13,1.34,1.17,0.908,2.33,0.253,2.31,1.09,0.874,0.449,–,–,–,–,–,0.104,–,0.217,2.96,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,L6X3-1/2X1/2,L6X3-1/2X1/2,–,15.3,4.50,3.50,–,–,  1/2 ,–,–,–,–,–,–,1.00,1      ,–,–,–,–,–,–,–,–,–,–,–,16.6,4.23,1.92,2.07,7.49,1.50,4.24,1.59,0.968,0.829,2.88,0.375,2.59,1.34,0.756,0.343,–,–,–,–,–,0.386,–,0.779,2.88,–,–
L,L6X3-1/2X3/8,L6X3-1/2X3/8,–,11.7,3.44,3.50,–,–,  3/8 ,–,–,–,–,–,–,0.875,  7/8 ,–,–,–,–,–,–,–,–,–,–,–,12.9,3.23,1.93,2.02,5.74,1.41,3.33,1.22,0.984,0.781,2.18,0.287,2.01,1.02,0.763,0.349,–,–,–,–,–,0.168,–,0.341,2.90,–,–
L,L6X3-1/2X5/16,L6X3-1/2X5/16,–,9.80,2.89,3.50,–,–,  5/16,–,–,–,–,–,–,0.813, 13/16,–,–,–,–,–,–,–,–,–,–,–,10.9,2.72,1.94,2.00,4.84,1.38,2.84,1.03,0.991,0.756,1.82,0.241,1.70,0.859,0.767,0.352,–,–,–,–,–,0.0990,–,0.201,2.92,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,L5X5X7/8,L5X5X7/8,–,27.2,8.00,5.00,–,–,  7/8 ,–,–,–,–,–,–,1.38,1  3/8 ,–,–,–,–,–,–,–,–,–,–,–,17.8,5.16,1.49,1.56,9.31,0.800,17.8,5.16,1.49,1.56,9.31,0.800,7.60,3.44,0.971,1.00,–,–,–,–,–,2.07,–,3.53,2.64,0.640,–
L,L5X5X3/4,L5X5X3/4,–,23.6,6.98,5.00,–,–,  3/4 ,–,–,–,–,–,–,1.25,1  1/4 ,–,–,–,–,–,–,–,–,–,–,–,15.7,4.52,1.50,1.52,8.14,0.698,15.7,4.52,1.50,1.52,8.14,0.698,6.55,3.05,0.972,1.00,–,–,–,–,–,1.33,–,2.32,2.67,0.630,–
