,,,,,,,,,,5400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400.00,,,,,,,,,,,,,,,,,,,,,5400.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,lamda p,lamda r,compaction,Mu,EQ 1,EQ 2,tw,EQ 3,REMARKS,Vu,PHI,GAMMA,CV,Mu Ref,Vu Ref,bf/2tf,RESULT,b/tdes,h/tw,RESULT,bf/2tf,Zx,Sx,closest Mu,WEIGHT,LIGHTEST,Ix,,lamda p,lamda r,compaction,Mu,EQ 1,EQ 2,EQ 3,REMARKS,Vu,PHI,GAMMA,CV,Mu Ref,Vu Ref,weight,RESULT,LIGHTEST,ALLOWABLE,MAX,REMARKS,,lamda p,lamda r,compaction,Ma,EQ 1,EQ 2,EQ 3,REMARKS,Va,PHI,GAMMA,CV,Ma Ref,Va Ref,weight,RESULT,LIGHTEST
9,W40X503,W40X503,T,503,148,42.1,10.78527803,28.38231061,COMPACT,6264.00,63.57637577,69.81125347,1.54,86.95,1,1400,1,1.5,1,SAFE,SAFE,2.98,6264,1400.4144,22.3,–,2.98,2320,1980,–,503,–,41600,,10.78527803,28.38231061,COMPACT,6264.00,63.57637577,69.81125347,86.95,1,1400,1,1.5,1,SAFE,SAFE,503,–,–,,,,,10.78527803,28.38231061,COMPACT,4167.66,63.57637577,69.81125347,86.95,1,933.61,1,1.5,1,SAFE,SAFE,503,–,–
10,W40X431,W40X431,T,431,127,41.3,10.78527803,28.38231061,COMPACT,5292.00,63.57637577,69.81125347,1.34,86.95,1,1195,1,1.5,1,SAFE,SAFE,3.44,5292,1195.3872,25.5,–,3.44,1960,1690,–,431,–,34800,,10.78527803,28.38231061,COMPACT,5292.00,63.57637577,69.81125347,86.95,1,1195,1,1.5,1,SAFE,SAFE,431,–,–,,,,,10.78527803,28.38231061,COMPACT,3520.96,63.57637577,69.81125347,86.95,1,796.92,1,1.5,1,SAFE,SAFE,431,–,–
11,W40X397,W40X397,T,397,117,41.0,10.78527803,28.38231061,COMPACT,4860.00,63.57637577,69.81125347,1.22,86.95,1,1080,1,1.5,1,SAFE,SAFE,3.66,4860,1080.432,28.0,–,3.66,1800,1560,–,397,–,32000,,10.78527803,28.38231061,COMPACT,4860.00,63.57637577,69.81125347,86.95,1,1080,1,1.5,1,SAFE,SAFE,397,–,–,,,,,10.78527803,28.38231061,COMPACT,3233.53,63.57637577,69.81125347,86.95,1,720.29,1,1.5,1,SAFE,SAFE,397,–,–
12,W40X372,W40X372,T,372,110,40.6,10.78527803,28.38231061,COMPACT,4536.00,63.57637577,69.81125347,1.16,86.95,1,1017,1,1.5,1,SAFE,SAFE,3.93,4536,1017.2736,29.5,–,3.93,1680,1460,–,372,–,29600,,10.78527803,28.38231061,COMPACT,4536.00,63.57637577,69.81125347,86.95,1,1017,1,1.5,1,SAFE,SAFE,372,–,–,,,,,10.78527803,28.38231061,COMPACT,3017.96,63.57637577,69.81125347,86.95,1,678.18,1,1.5,1,SAFE,SAFE,372,–,–
13,W40X362,W40X362,T,362,106,40.6,10.78527803,28.38231061,COMPACT,4428.00,63.57637577,69.81125347,1.12,86.95,1,982,1,1.5,1,SAFE,SAFE,3.99,4428,982.1952,30.5,–,3.99,1640,1420,–,362,–,28900,,10.78527803,28.38231061,COMPACT,4428.00,63.57637577,69.81125347,86.95,1,982,1,1.5,1,SAFE,SAFE,362,–,–,,,,,10.78527803,28.38231061,COMPACT,2946.11,63.57637577,69.81125347,86.95,1,654.80,1,1.5,1,SAFE,SAFE,362,–,–
14,W40X324,W40X324,F,324,95.3,40.2,10.78527803,28.38231061,COMPACT,3942.00,63.57637577,69.81125347,1.00,86.95,1,868,1,1.5,1,SAFE,SAFE,4.40,3942,868.32,34.2,–,4.40,1460,1280,–,324,–,25600,,10.78527803,28.38231061,COMPACT,3942.00,63.57637577,69.81125347,86.95,1,868,1,1.5,1,SAFE,SAFE,324,–,–,,,,,10.78527803,28.38231061,COMPACT,2622.75,63.57637577,69.81125347,86.95,1,578.88,1,1.5,1,SAFE,SAFE,324,–,–
15,W40X297,W40X297,F,297,87.3,39.8,10.78527803,28.38231061,COMPACT,3591.00,63.57637577,69.81125347,0.930,86.95,1,800,1,1.5,1,SAFE,SAFE,4.80,3591,799.5024,36.8,–,4.80,1330,1170,–,297,–,23200,,10.78527803,28.38231061,COMPACT,3591.00,63.57637577,69.81125347,86.95,1,800,1,1.5,1,SAFE,SAFE,297,–,–,,,,,10.78527803,28.38231061,COMPACT,2389.22,63.57637577,69.81125347,86.95,1,533.00,1,1.5,1,SAFE,SAFE,297,–,–
16,W40X277,W40X277,F,277,81.5,39.7,10.78527803,28.38231061,COMPACT,3375.00,63.57637577,69.81125347,0.830,86.95,1,712,1,1.5,1,SAFE,SAFE,5.03,3375,711.7416,41.2,–,5.03,1250,1100,–,277,–,21900,,10.78527803,28.38231061,COMPACT,3375.00,63.57637577,69.81125347,86.95,1,712,1,1.5,1,SAFE,SAFE,277,–,–,,,,,10.78527803,28.38231061,COMPACT,2245.51,63.57637577,69.81125347,86.95,1,474.49,1,1.5,1,SAFE,SAFE,277,–,–
17,W40X249,W40X249,F,249,73.5,39.4,10.78527803,28.38231061,COMPACT,3024.00,63.57637577,69.81125347,0.750,86.95,1,638,1,1.5,1,SAFE,SAFE,5.55,3024,638.28,45.6,–,5.55,1120,993,–,249,–,19600,,10.78527803,28.38231061,COMPACT,3024.00,63.57637577,69.81125347,86.95,1,638,1,1.5,1,SAFE,SAFE,249,–,–,,,,,10.78527803,28.38231061,COMPACT,2011.98,63.57637577,69.81125347,86.95,1,425.52,1,1.5,1,SAFE,SAFE,249,–,–
18,W40X215,W40X215,F,215,63.5,39.0,10.78527803,28.38231061,COMPACT,2602.80,63.57637577,69.81125347,0.650,86.95,1,548,1,1.5,1,SAFE,SAFE,6.45,2602.8,547.56,52.6,–,6.45,964,859,–,215,–,16700,,10.78527803,28.38231061,COMPACT,2602.80,63.57637577,69.81125347,86.95,1,548,1,1.5,1,SAFE,SAFE,215,–,–,,,,,10.78527803,28.38231061,COMPACT,1731.74,63.57637577,69.81125347,86.95,1,365.04,1,1.5,1,SAFE,SAFE,215,–,–
